"value","density","param","method"
-0.99,4.70989976409262e-205,"theta","True posterior"
-0.986032064128257,1.56503416696504e-191,"theta","True posterior"
-0.982064128256513,4.49925140858593e-180,"theta","True posterior"
-0.97809619238477,7.16165506252048e-171,"theta","True posterior"
-0.974128256513026,1.58421292418404e-163,"theta","True posterior"
-0.970160320641283,1.4720652991618e-157,"theta","True posterior"
-0.966192384769539,1.5016071104882e-152,"theta","True posterior"
-0.962224448897796,3.53778241045404e-148,"theta","True posterior"
-0.958256513026052,3.11118542122269e-144,"theta","True posterior"
-0.954288577154309,1.307055441406e-140,"theta","True posterior"
-0.950320641282565,2.98057088554794e-137,"theta","True posterior"
-0.946352705410822,4.01711726242553e-134,"theta","True posterior"
-0.942384769539078,3.41896900488607e-131,"theta","True posterior"
-0.938416833667335,1.93896718367138e-128,"theta","True posterior"
-0.934448897795591,7.65917951202706e-126,"theta","True posterior"
-0.930480961923848,2.18685217687632e-123,"theta","True posterior"
-0.926513026052104,4.65704489589575e-121,"theta","True posterior"
-0.922545090180361,7.59868821577588e-119,"theta","True posterior"
-0.918577154308617,9.72360497866225e-117,"theta","True posterior"
-0.914609218436874,9.95931149429795e-115,"theta","True posterior"
-0.91064128256513,8.3128028053244e-113,"theta","True posterior"
-0.906673346693387,5.74519323761001e-111,"theta","True posterior"
-0.902705410821643,3.33485440015389e-109,"theta","True posterior"
-0.8987374749499,1.64664343099005e-107,"theta","True posterior"
-0.894769539078156,6.99605538709714e-106,"theta","True posterior"
-0.890801603206413,2.58424785722271e-104,"theta","True posterior"
-0.886833667334669,8.37747637632754e-103,"theta","True posterior"
-0.882865731462926,2.403729412686e-101,"theta","True posterior"
-0.878897795591182,6.15195666037572e-100,"theta","True posterior"
-0.874929859719439,1.41436571545128e-98,"theta","True posterior"
-0.870961923847695,2.93989377826303e-97,"theta","True posterior"
-0.866993987975952,5.55759403840085e-96,"theta","True posterior"
-0.863026052104208,9.60679703746921e-95,"theta","True posterior"
-0.859058116232465,1.52604563122079e-93,"theta","True posterior"
-0.855090180360721,2.2379082572381e-92,"theta","True posterior"
-0.851122244488978,3.04254385804543e-91,"theta","True posterior"
-0.847154308617234,3.84986474473759e-90,"theta","True posterior"
-0.843186372745491,4.55025904955789e-89,"theta","True posterior"
-0.839218436873747,5.04037059246381e-88,"theta","True posterior"
-0.835250501002004,5.24897592963106e-87,"theta","True posterior"
-0.83128256513026,5.15381091555066e-86,"theta","True posterior"
-0.827314629258517,4.78403879600223e-85,"theta","True posterior"
-0.823346693386774,4.20887371233345e-84,"theta","True posterior"
-0.81937875751503,3.51774028830076e-83,"theta","True posterior"
-0.815410821643287,2.7992724185465e-82,"theta","True posterior"
-0.811442885771543,2.12523802395357e-81,"theta","True posterior"
-0.8074749498998,1.54238976731622e-80,"theta","True posterior"
-0.803507014028056,1.07200802097461e-79,"theta","True posterior"
-0.799539078156313,7.14770385376088e-79,"theta","True posterior"
-0.795571142284569,4.57935849333528e-78,"theta","True posterior"
-0.791603206412826,2.8234377610869e-77,"theta","True posterior"
-0.787635270541082,1.67771066227562e-76,"theta","True posterior"
-0.783667334669339,9.62094013917395e-76,"theta","True posterior"
-0.779699398797595,5.33144392831022e-75,"theta","True posterior"
-0.775731462925852,2.85848215847955e-74,"theta","True posterior"
-0.771763527054108,1.484564172773e-73,"theta","True posterior"
-0.767795591182365,7.47686928127642e-73,"theta","True posterior"
-0.763827655310621,3.65560256765882e-72,"theta","True posterior"
-0.759859719438878,1.73682341492172e-71,"theta","True posterior"
-0.755891783567134,8.02654148698628e-71,"theta","True posterior"
-0.751923847695391,3.61140882611861e-70,"theta","True posterior"
-0.747955911823647,1.58336653128947e-69,"theta","True posterior"
-0.743987975951904,6.77028598306368e-69,"theta","True posterior"
-0.74002004008016,2.82553954271087e-68,"theta","True posterior"
-0.736052104208417,1.15185417862408e-67,"theta","True posterior"
-0.732084168336673,4.59001335199247e-67,"theta","True posterior"
-0.72811623246493,1.7891872233714e-66,"theta","True posterior"
-0.724148296593186,6.82676989632132e-66,"theta","True posterior"
-0.720180360721443,2.55136435121144e-65,"theta","True posterior"
-0.716212424849699,9.34536000772991e-65,"theta","True posterior"
-0.712244488977956,3.35694010003878e-64,"theta","True posterior"
-0.708276553106212,1.1832116620539e-63,"theta","True posterior"
-0.704308617234469,4.09439759427001e-63,"theta","True posterior"
-0.700340681362725,1.39172796752712e-62,"theta","True posterior"
-0.696372745490982,4.64916098122682e-62,"theta","True posterior"
-0.692404809619238,1.52707834187846e-61,"theta","True posterior"
-0.688436873747495,4.93420362963134e-61,"theta","True posterior"
-0.684468937875751,1.56904942880949e-60,"theta","True posterior"
-0.680501002004008,4.91255480465314e-60,"theta","True posterior"
-0.676533066132264,1.51499014418735e-59,"theta","True posterior"
-0.672565130260521,4.60381113191337e-59,"theta","True posterior"
-0.668597194388778,1.3791063131253e-58,"theta","True posterior"
-0.664629258517034,4.07391243037981e-58,"theta","True posterior"
-0.660661322645291,1.18717463918996e-57,"theta","True posterior"
-0.656693386773547,3.41394243193179e-57,"theta","True posterior"
-0.652725450901804,9.69127165234825e-57,"theta","True posterior"
-0.64875751503006,2.71661151289804e-56,"theta","True posterior"
-0.644789579158317,7.52195625658184e-56,"theta","True posterior"
-0.640821643286573,2.05788060286243e-55,"theta","True posterior"
-0.63685370741483,5.5644309579318e-55,"theta","True posterior"
-0.632885771543086,1.48748762618719e-54,"theta","True posterior"
-0.628917835671343,3.93219152519938e-54,"theta","True posterior"
-0.624949899799599,1.02819949473367e-53,"theta","True posterior"
-0.620981963927856,2.66005407630214e-53,"theta","True posterior"
-0.617014028056112,6.81050318881035e-53,"theta","True posterior"
-0.613046092184369,1.72601833748364e-52,"theta","True posterior"
-0.609078156312625,4.33099368192768e-52,"theta","True posterior"
-0.605110220440882,1.07621959946031e-51,"theta","True posterior"
-0.601142284569138,2.64897359018104e-51,"theta","True posterior"
-0.597174348697395,6.45962002472294e-51,"theta","True posterior"
-0.593206412825651,1.56090085071465e-50,"theta","True posterior"
-0.589238476953908,3.73823266294304e-50,"theta","True posterior"
-0.585270541082164,8.874850577078e-50,"theta","True posterior"
-0.581302605210421,2.08899794949053e-49,"theta","True posterior"
-0.577334669338677,4.87610819263897e-49,"theta","True posterior"
-0.573366733466934,1.12886185663238e-48,"theta","True posterior"
-0.56939879759519,2.59245941770869e-48,"theta","True posterior"
-0.565430861723447,5.90685412153546e-48,"theta","True posterior"
-0.561462925851703,1.33549103705246e-47,"theta","True posterior"
-0.55749498997996,2.9966189274903e-47,"theta","True posterior"
-0.553527054108216,6.6740784903703e-47,"theta","True posterior"
-0.549559118236473,1.47564521535282e-46,"theta","True posterior"
-0.545591182364729,3.23939032255831e-46,"theta","True posterior"
-0.541623246492986,7.0614422634771e-46,"theta","True posterior"
-0.537655310621242,1.52872310810916e-45,"theta","True posterior"
-0.533687374749499,3.28718715389398e-45,"theta","True posterior"
-0.529719438877756,7.0215595950687e-45,"theta","True posterior"
-0.525751503006012,1.49007523788325e-44,"theta","True posterior"
-0.521783567134269,3.14194624089774e-44,"theta","True posterior"
-0.517815631262525,6.58346242859403e-44,"theta","True posterior"
