"value","density","param","method"
-0.909819639278557,8.40723598252257e-277,"logsigma","True posterior"
-0.901803607214429,7.66391272325197e-271,"logsigma","True posterior"
-0.893787575150301,5.47603316741035e-265,"logsigma","True posterior"
-0.885771543086172,3.07880181206906e-259,"logsigma","True posterior"
-0.877755511022044,1.36726509935198e-253,"logsigma","True posterior"
-0.869739478957916,4.81402029296751e-248,"logsigma","True posterior"
-0.861723446893788,1.34880838088274e-242,"logsigma","True posterior"
-0.85370741482966,3.0182638955092e-237,"logsigma","True posterior"
-0.845691382765531,5.41353750900761e-232,"logsigma","True posterior"
-0.837675350701403,7.80997719757776e-227,"logsigma","True posterior"
-0.829659318637275,9.09424069871394e-222,"logsigma","True posterior"
-0.821643286573146,8.57651131553397e-217,"logsigma","True posterior"
-0.813627254509018,6.57261775681697e-212,"logsigma","True posterior"
-0.80561122244489,4.10659969097365e-207,"logsigma","True posterior"
-0.797595190380762,2.09871107152358e-202,"logsigma","True posterior"
-0.789579158316633,8.80109698460733e-198,"logsigma","True posterior"
-0.781563126252505,3.03808794809551e-193,"logsigma","True posterior"
-0.773547094188377,8.65938509549451e-189,"logsigma","True posterior"
-0.765531062124249,2.04418108467573e-184,"logsigma","True posterior"
-0.75751503006012,4.00865487529985e-180,"logsigma","True posterior"
-0.749498997995992,6.54946239601706e-176,"logsigma","True posterior"
-0.741482965931864,8.94129959691074e-172,"logsigma","True posterior"
-0.733466933867736,1.02287821682931e-167,"logsigma","True posterior"
-0.725450901803607,9.83322680681669e-164,"logsigma","True posterior"
-0.717434869739479,7.96559403958214e-160,"logsigma","True posterior"
-0.709418837675351,5.45220664446532e-156,"logsigma","True posterior"
-0.701402805611222,3.16170766607251e-152,"logsigma","True posterior"
-0.693386773547094,1.55743927564924e-148,"logsigma","True posterior"
-0.685370741482966,6.53381859124391e-145,"logsigma","True posterior"
-0.677354709418838,2.34044359179101e-141,"logsigma","True posterior"
-0.669338677354709,7.17621474602391e-138,"logsigma","True posterior"
-0.661322645290581,1.88813242382496e-134,"logsigma","True posterior"
-0.653306613226453,4.2733238709179e-131,"logsigma","True posterior"
-0.645290581162325,8.33940868025147e-128,"logsigma","True posterior"
-0.637274549098197,1.40657862869283e-124,"logsigma","True posterior"
-0.629258517034068,2.05522335081268e-121,"logsigma","True posterior"
-0.62124248496994,2.60742137344425e-118,"logsigma","True posterior"
-0.613226452905812,2.87869578535017e-115,"logsigma","True posterior"
-0.605210420841684,2.77186668878741e-112,"logsigma","True posterior"
-0.597194388777555,2.33284198065924e-109,"logsigma","True posterior"
