"methods","samples.theta1","samples.theta2"
"MMD",0.694297250328111,0.180612459938995
"MMD",0.949045493738268,0.221615778791654
"MMD",0.694297250328111,0.180612459938995
"MMD",0.893753035462073,0.120802545189448
"MMD",0.694297250328111,0.180612459938995
"MMD",0.613677843413459,0.11790231793444
"MMD",0.339998168434929,0.306049655399836
"MMD",0.874677250562925,0.184552593356088
"MMD",0.621798100527764,0.159939531680573
"MMD",0.621999612294201,0.22078590381373
"MMD",0.621999612294201,0.22078590381373
"MMD",0.621999612294201,0.22078590381373
"MMD",-0.247400425308736,0.424997839128097
"MMD",0.0486533636286856,0.412061041590379
"MMD",0.547488914388176,0.265401882932499
"MMD",-0.10712244770106,0.370023586738806
"MMD",-0.10712244770106,0.370023586738806
"MMD",0.406947237934299,0.326870894617726
"MMD",0.27664828095629,0.320130052520489
"MMD",0.923679336487309,0.293388984050985
"MMD",0.393301228664681,0.293963510718487
"MMD",0.854537976875973,0.2733014764063
"MMD",0.266103295320768,0.349234679670313
"MMD",0.600361957170848,0.251681536943612
"MMD",0.773595672894253,0.243581108228124
"MMD",0.523730252017319,0.350851166540731
"MMD",0.774653839859552,0.116841010331069
"MMD",-0.323162623358238,0.317225375519883
"MMD",-0.323162623358238,0.317225375519883
"MMD",-0.628232977048687,0.157972197840824
"MMD",-0.926659194830655,0.0943700424254137
"MMD",-0.901752020298999,0.10686523683444
"MMD",-0.628232977048687,0.157972197840824
"MMD",-0.628232977048687,0.157972197840824
"MMD",0.771646836923033,0.155958785168552
"MMD",0.384698325761551,0.201616517737675
"MMD",0.924487834681052,0.142469813766439
"MMD",0.721439421502169,0.217449965677973
"MMD",-0.239355906609487,0.388818915900893
"MMD",0.653511998624614,0.306546533512379
"MMD",0.743601152947289,0.196934319821003
"MMD",0.700199747955147,0.254390294337881
"MMD",0.123737428010832,0.368937775499377
"MMD",0.123737428010832,0.368937775499377
"MMD",-0.0293038168502825,0.329877622696198
"MMD",-0.0293038168502825,0.329877622696198
"MMD",-0.0293038168502825,0.329877622696198
"MMD",-0.0293038168502825,0.329877622696198
"MMD",0.309291867903926,0.372319766144315
"MMD",-0.244421204347918,0.371328156307461
"MMD",-0.0293038168502825,0.329877622696198
"MMD",-0.363505477961817,0.28820478088595
"MMD",-0.363505477961817,0.28820478088595
"MMD",-0.224150973218098,0.362407679205963
"MMD",0.827391187269381,0.162856619071747
"MMD",0.827391187269381,0.162856619071747
"MMD",0.0282413352859806,0.401420660866195
"MMD",0.0517724359908747,0.346821374602983
"MMD",0.193643634161983,0.391513971702978
"MMD",0.193643634161983,0.391513971702978
"MMD",0.193643634161983,0.391513971702978
"MMD",0.433276565023286,0.353820614632276
"MMD",-0.0469129675032941,0.290086103226376
"MMD",0.242096200231424,0.317409309928779
"MMD",0.344905014297217,0.376239647213246
"MMD",0.407691205867123,0.362403134820025
"MMD",-0.975106331936125,0.0899633836914277
"MMD",-0.975106331936125,0.0899633836914277
"MMD",-0.424517725518951,0.223419851646273
"MMD",-0.645832062667233,0.275233491252823
"MMD",-0.645832062667233,0.275233491252823
"MMD",0.825247122648392,0.175503346391589
"MMD",-0.431935395353305,0.286937495231926
"MMD",0.364904822353891,0.301109213930737
"MMD",-0.0397167387303078,0.27429313092472
"MMD",-0.0397167387303078,0.27429313092472
"MMD",-0.803567050616907,0.117712318910659
"MMD",-0.915465198754177,0.176669082419693
"MMD",-0.378593331294476,0.299331418991939
"MMD",-0.63393585947806,0.116800242539618
"MMD",0.0300503953624004,0.512815299172991
"MMD",0.0480357979968865,0.406804682630493
"MMD",0.515626540911254,0.262536058893302
"MMD",0.833853440350519,0.171399031750141
"MMD",0.833853440350519,0.171399031750141
"MMD",-0.920998154175289,0.234124857491882
"MMD",-0.570288324985799,0.231485114188175
"MMD",-0.498577347492273,0.286819271431759
"MMD",0.330714582643319,0.322987399993249
"MMD",-0.144424878749712,0.321513943385961
"MMD",0.509206459511378,0.35395450215911
"MMD",0.398683240156437,0.267243375520238
"MMD",0.509206459511378,0.35395450215911
"MMD",-0.620005015114083,0.195494364923976
"MMD",-0.83961503250492,0.184992532650224
"MMD",-0.430309859232138,0.239610107629741
"MMD",-0.430309859232138,0.239610107629741
"MMD",-0.146338421544609,0.406870288421707
"MMD",-0.770641635256778,0.0239403478379749
"MMD",-0.620005015114083,0.195494364923976
"MMD",-0.0351072715786928,0.387842300387145
"MMD",-0.57733512312956,0.255546468960449
"MMD",-0.261796130613478,0.193340104821064
"MMD",-0.679756573218777,0.244081162813933
"MMD",0.525413037736089,0.31198642958435
"MMD",-0.441640517818196,0.306673098585322
"MMD",-0.453683928777798,0.238268511644589
"MMD",-0.621498564135015,0.152866904031672
"MMD",-0.634338292127877,0.193927162594553
"MMD",-0.634338292127877,0.193927162594553
"MMD",-0.547885562293633,0.211459869575438
"MMD",0.272337443715824,0.294692625947992
"MMD",-0.547885562293633,0.211459869575438
"MMD",-0.547885562293633,0.211459869575438
"MMD",-0.570665350560559,0.310928555191817
"MMD",0.550635379254829,0.288156449519339
"MMD",-0.377862464876393,0.349098625168214
"MMD",0.616398428439941,0.227566006777696
"MMD",-0.0306787901496497,0.384410959432974
"MMD",-0.0306787901496497,0.384410959432974
"MMD",0.358647127677833,0.445025557316751
"MMD",0.358647127677833,0.445025557316751
