"value","density","param","method"
-0.56939879759519,5.19155511793838e-61,"phi","True posterior"
-0.565430861723447,8.40034145381802e-61,"phi","True posterior"
-0.561462925851703,1.36020751306162e-60,"phi","True posterior"
-0.55749498997996,2.20405531653432e-60,"phi","True posterior"
-0.553527054108216,3.57395606555039e-60,"phi","True posterior"
-0.549559118236473,5.79943401864959e-60,"phi","True posterior"
-0.545591182364729,9.41742039485401e-60,"phi","True posterior"
-0.541623246492986,1.53034195595161e-59,"phi","True posterior"
-0.537655310621242,2.48860177980798e-59,"phi","True posterior"
-0.533687374749499,4.04979383755207e-59,"phi","True posterior"
-0.529719438877756,6.59509681456279e-59,"phi","True posterior"
-0.525751503006012,1.07478186724236e-58,"phi","True posterior"
-0.521783567134269,1.75279247942072e-58,"phi","True posterior"
-0.517815631262525,2.86056474541275e-58,"phi","True posterior"
-0.513847695390782,4.67180002596114e-58,"phi","True posterior"
-0.509879759519038,7.63533219815689e-58,"phi","True posterior"
-0.505911823647295,1.2487712232794e-57,"phi","True posterior"
-0.501943887775551,2.0438502815185e-57,"phi","True posterior"
-0.497975951903808,3.34754560404947e-57,"phi","True posterior"
-0.494008016032064,5.48674909704997e-57,"phi","True posterior"
-0.490040080160321,8.99942578566629e-57,"phi","True posterior"
-0.486072144288577,1.47715306113887e-56,"phi","True posterior"
-0.482104208416834,2.42631437822799e-56,"phi","True posterior"
-0.47813627254509,3.98822239233803e-56,"phi","True posterior"
-0.474168336673347,6.5602774750324e-56,"phi","True posterior"
-0.470200400801603,1.07987973733328e-55,"phi","True posterior"
-0.46623246492986,1.77884737924711e-55,"phi","True posterior"
-0.462264529058116,2.93232322890329e-55,"phi","True posterior"
-0.458296593186373,4.83720581715156e-55,"phi","True posterior"
-0.454328657314629,7.98521392148375e-55,"phi","True posterior"
-0.450360721442886,1.31912961118773e-54,"phi","True posterior"
-0.446392785571142,2.18070511887385e-54,"phi","True posterior"
-0.442424849699399,3.6075684718252e-54,"phi","True posterior"
