"value","density","param","method"
-1.11823647294589,0.00609937642071987,"theta2","True posterior"
-1.11022044088176,0.00614207945197869,"theta2","True posterior"
-1.10220440881764,0.00618545451710679,"theta2","True posterior"
-1.09418837675351,0.00622951504568126,"theta2","True posterior"
-1.08617234468938,0.00627427479474136,"theta2","True posterior"
-1.07815631262525,0.00631974785813975,"theta2","True posterior"
-1.07014028056112,0.00636594867619757,"theta2","True posterior"
-1.06212424849699,0.006412892045674,"theta2","True posterior"
-1.05410821643287,0.00646059313006245,"theta2","True posterior"
-1.04609218436874,0.00650906747022461,"theta2","True posterior"
-1.03807615230461,0.00655833099537521,"theta2","True posterior"
-1.03006012024048,0.00660840003442986,"theta2","True posterior"
-1.02204408817635,0.00665929132773025,"theta2","True posterior"
-1.01402805611222,0.00671102203915953,"theta2","True posterior"
-1.0060120240481,0.00676360976866317,"theta2","True posterior"
-0.997995991983968,0.00681707256519018,"theta2","True posterior"
-0.98997995991984,0.0068714289400703,"theta2","True posterior"
-0.981963927855712,0.0069266978808437,"theta2","True posterior"
-0.973947895791583,0.00698289886555988,"theta2","True posterior"
-0.965931863727455,0.00704005187756407,"theta2","True posterior"
-0.957915831663327,0.00709817742078911,"theta2","True posterior"
-0.949899799599198,0.00715729653557199,"theta2","True posterior"
-0.94188376753507,0.00721743081501576,"theta2","True posterior"
-0.933867735470942,0.00727860242191685,"theta2","True posterior"
-0.925851703406814,0.0073408341062801,"theta2","True posterior"
-0.917835671342685,0.00740414922344407,"theta2","True posterior"
-0.909819639278557,0.00746857175283999,"theta2","True posterior"
-0.901803607214429,0.00753412631740937,"theta2","True posterior"
-0.893787575150301,0.00760083820370576,"theta2","True posterior"
-0.885771543086172,0.00766873338270734,"theta2","True posterior"
-0.877755511022044,0.00773783853136846,"theta2","True posterior"
-0.869739478957916,0.00780818105493915,"theta2","True posterior"
-0.861723446893788,0.00787978911008297,"theta2","True posterior"
-0.85370741482966,0.00795269162882496,"theta2","True posterior"
-0.845691382765531,0.00802691834336271,"theta2","True posterior"
-0.837675350701403,0.00810249981177501,"theta2","True posterior"
-0.829659318637275,0.00817946744466433,"theta2","True posterior"
-0.821643286573146,0.00825785353277035,"theta2","True posterior"
-0.813627254509018,0.00833769127559423,"theta2","True posterior"
-0.80561122244489,0.00841901481107431,"theta2","True posterior"
-0.797595190380762,0.00850185924635609,"theta2","True posterior"
-0.789579158316633,0.00858626068970129,"theta2","True posterior"
-0.781563126252505,0.00867225628358264,"theta2","True posterior"
-0.773547094188377,0.00875988423901337,"theta2","True posterior"
-0.765531062124249,0.00884918387116183,"theta2","True posterior"
-0.75751503006012,0.00894019563630537,"theta2","True posterior"
-0.749498997995992,0.00903296117017848,"theta2","True posterior"
-0.741482965931864,0.00912752332777368,"theta2","True posterior"
-0.733466933867736,0.00922392622465601,"theta2","True posterior"
-0.725450901803607,0.00932221527985484,"theta2","True posterior"
-0.717434869739479,0.00942243726039956,"theta2","True posterior"
-0.709418837675351,0.00952464032756842,"theta2","True posterior"
-0.701402805611222,0.00962887408492407,"theta2","True posterior"
-0.693386773547094,0.00973518962821132,"theta2","True posterior"
-0.685370741482966,0.00984363959719735,"theta2","True posterior"
-0.677354709418838,0.0099542782295375,"theta2","True posterior"
-0.669338677354709,0.0100671614167543,"theta2","True posterior"
-0.661322645290581,0.0101823467624213,"theta2","True posterior"
-0.653306613226453,0.0102998936426466,"theta2","True posterior"
-0.645290581162325,0.010419863268958,"theta2","True posterior"
-0.637274549098197,0.0105423187536929,"theta2","True posterior"
-0.629258517034068,0.010667325178005,"theta2","True posterior"
-0.62124248496994,0.0107949496626016,"theta2","True posterior"
-0.613226452905812,0.0109252614413322,"theta2","True posterior"
-0.605210420841684,0.0110583319377572,"theta2","True posterior"
-0.597194388777555,0.0111942348448263,"theta2","True posterior"
-0.589178356713427,0.0113330462078082,"theta2","True posterior"
-0.581162324649299,0.0114748445106166,"theta2","True posterior"
-0.57314629258517,0.011619710765685,"theta2","True posterior"
-0.565130260521042,0.0117677286075514,"theta2","True posterior"
-0.557114228456914,0.0119189843903218,"theta2","True posterior"
-0.549098196392786,0.0120735672891868,"theta2","True posterior"
-0.541082164328657,0.0122315694061798,"theta2","True posterior"
