"value","density","param","method"
0,9.8511928610824e-12,"theta1","True posterior"
0.00200400801603206,1.32517492609097e-11,"theta1","True posterior"
0.00400801603206413,1.7968671098347e-11,"theta1","True posterior"
0.00601202404809619,2.45195291028752e-11,"theta1","True posterior"
0.00801603206412826,3.36233228948167e-11,"theta1","True posterior"
0.0100200400801603,4.62771604958915e-11,"theta1","True posterior"
0.0120240480961924,6.38612545301061e-11,"theta1","True posterior"
0.0140280561122244,8.82823070343933e-11,"theta1","True posterior"
0.0160320641282565,1.22168780505905e-10,"theta1","True posterior"
0.0180360721442886,1.69136083486709e-10,"theta1","True posterior"
0.0200400801603206,2.34145669069831e-10,"theta1","True posterior"
0.0220440881763527,3.23989882242809e-10,"theta1","True posterior"
0.0240480961923848,4.47944642272563e-10,"theta1","True posterior"
0.0260521042084168,6.18645400809964e-10,"theta1","True posterior"
0.0280561122244489,8.53259147555627e-10,"theta1","True posterior"
0.030060120240481,1.17504763875939e-09,"theta1","True posterior"
0.032064128256513,1.61544586829772e-09,"theta1","True posterior"
0.0340681362725451,2.21681678786176e-09,"theta1","True posterior"
0.0360721442885771,3.03609051525525e-09,"theta1","True posterior"
0.0380761523046092,4.14955633428555e-09,"theta1","True posterior"
0.0400801603206413,5.65915184863811e-09,"theta1","True posterior"
0.0420841683366733,7.70068954990294e-09,"theta1","True posterior"
0.0440881763527054,1.04545814422241e-08,"theta1","True posterior"
0.0460921843687375,1.4159772811931e-08,"theta1","True posterior"
0.0480961923847695,1.91317833968182e-08,"theta1","True posterior"
0.0501002004008016,2.57859859858793e-08,"theta1","True posterior"
0.0521042084168337,3.46675381506276e-08,"theta1","True posterior"
0.0541082164328657,4.64897332186104e-08,"theta1","True posterior"
0.0561122244488978,6.21829643168959e-08,"theta1","True posterior"
0.0581162324649299,8.29570147827439e-08,"theta1","True posterior"
0.0601202404809619,1.1038001591248e-07,"theta1","True posterior"
0.062124248496994,1.4647816745539e-07,"theta1","True posterior"
0.064128256513026,1.93861218169001e-07,"theta1","True posterior"
0.0661322645290581,2.55879775982276e-07,"theta1","True posterior"
0.0681362725450902,3.36821784737089e-07,"theta1","True posterior"
0.0701402805611222,4.42156993772837e-07,"theta1","True posterior"
0.0721442885771543,5.78839985900327e-07,"theta1","True posterior"
0.0741482965931864,7.55684347599961e-07,"theta1","True posterior"
0.0761523046092184,9.83822891763764e-07,"theta1","True posterior"
0.0781563126252505,1.27727150636636e-06,"theta1","True posterior"
0.0801603206412826,1.65361722844546e-06,"theta1","True posterior"
0.0821643286573146,2.13485455448692e-06,"theta1","True posterior"
0.0841683366733467,2.74839781313476e-06,"theta1","True posterior"
0.0861723446893787,3.52830165391754e-06,"theta1","True posterior"
0.0881763527054108,4.51672634618146e-06,"theta1","True posterior"
0.0901803607214429,5.76568962257581e-06,"theta1","True posterior"
0.0921843687374749,7.33915221221848e-06,"theta1","True posterior"
0.094188376753507,9.31548994176841e-06,"theta1","True posterior"
0.0961923847695391,1.17904112669601e-05,"theta1","True posterior"
0.0981963927855711,1.48803852353082e-05,"theta1","True posterior"
0.100200400801603,1.87266510454848e-05,"theta1","True posterior"
0.102204408817635,2.34998864001284e-05,"theta1","True posterior"
0.104208416833667,2.94056175506516e-05,"theta1","True posterior"
0.106212424849699,3.66904590712333e-05,"theta1","True posterior"
0.108216432865731,4.5649275701945e-05,"theta1","True posterior"
0.110220440881764,5.66333617563797e-05,"theta1","True posterior"
0.112224448897796,7.0059735248554e-05,"theta1","True posterior"
0.114228456913828,8.64216436748481e-05,"theta1","True posterior"
0.11623246492986,0.000106300375878841,"theta1","True posterior"
0.118236472945892,0.000130378469199404,"theta1","True posterior"
0.120240480961924,0.000159454392715103,"theta1","True posterior"
0.122244488977956,0.000194458775414168,"theta1","True posterior"
0.124248496993988,0.000236472232122281,"theta1","True posterior"
0.12625250501002,0.000286744819631686,"theta1","True posterior"
0.128256513026052,0.000346717130376224,"theta1","True posterior"
0.130260521042084,0.000418043000952318,"theta1","True posterior"
0.132264529058116,0.000502613777668432,"theta1","True posterior"
0.134268537074148,0.00060258404112203,"theta1","True posterior"
0.13627254509018,0.00072039864672009,"theta1","True posterior"
0.138276553106212,0.000858820888428287,"theta1","True posterior"
0.140280561122244,0.00102096153941327,"theta1","True posterior"
0.142284569138277,0.00121030846641571,"theta1","True posterior"
0.144288577154309,0.00143075645568228,"theta1","True posterior"
0.146292585170341,0.00168663682835991,"theta1","True posterior"
0.148296593186373,0.00198274636392883,"theta1","True posterior"
0.150300601202405,0.00232437499326666,"theta1","True posterior"
0.152304609218437,0.00271733167024965,"theta1","True posterior"
0.154308617234469,0.00316796778454349,"theta1","True posterior"
0.156312625250501,0.00368319744067847,"theta1","True posterior"
0.158316633266533,0.00427051390198117,"theta1","True posterior"
0.160320641282565,0.00493800148478839,"theta1","True posterior"
0.162324649298597,0.00569434219086531,"theta1","True posterior"
0.164328657314629,0.00654881638618634,"theta1","True posterior"
0.166332665330661,0.00751129687405237,"theta1","True posterior"
0.168336673346693,0.00859223577138698,"theta1","True posterior"
0.170340681362725,0.00980264367999167,"theta1","True posterior"
0.172344689378757,0.0111540607500033,"theta1","True posterior"
0.17434869739479,0.012658519360603,"theta1","True posterior"
0.176352705410822,0.0143284982922698,"theta1","True posterior"
0.178356713426854,0.0161768684338834,"theta1","True posterior"
