"methods","samples.theta1","samples.theta2"
"Summary statistics",0.266799849843978,0.360308450565561
"Summary statistics",0.230528753966138,-0.422321888036556
"Summary statistics",0.214601532737192,-0.78737754203425
"Summary statistics",0.439596952624471,0.716259146224361
"Summary statistics",0.435492919453565,0.804084651667061
"Summary statistics",0.262148186692849,0.0640388942739054
"Summary statistics",0.45629144311183,0.978224855756609
"Summary statistics",0.369495220434201,0.698208079003679
"Summary statistics",0.304098739657714,0.533137278643055
"Summary statistics",0.304098739657714,0.533137278643055
"Summary statistics",0.304098739657714,0.533137278643055
"Summary statistics",0.647730665843814,1.10107273581243
"Summary statistics",0.63944894191809,1.11963888071477
"Summary statistics",0.679367807378416,1.1718642637214
"Summary statistics",0.302680014943638,0.0366338599981184
"Summary statistics",0.208234955322574,-1.22677369019579
"Summary statistics",0.446285379712825,0.666670975394037
"Summary statistics",0.575590114151102,0.888431057821593
"Summary statistics",0.360544661170469,0.555433678236743
"Summary statistics",0.28256494549479,-0.289434536022552
"Summary statistics",0.273617755303273,-0.45831761778362
"Summary statistics",0.28256494549479,-0.289434536022552
"Summary statistics",0.695853534610555,1.23779614455702
"Summary statistics",0.635210548657071,1.16463951485617
"Summary statistics",0.75111948900534,1.12528518619139
"Summary statistics",0.63944894191809,1.11963888071477
"Summary statistics",0.63944894191809,1.11963888071477
"Summary statistics",0.239188007397919,-0.856728432735733
"Summary statistics",0.257162925352361,-1.79521233317383
"Summary statistics",0.27930637864471,-1.07544838217322
"Summary statistics",0.189992221438047,-1.44699273880225
"Summary statistics",0.260440609803828,-1.53282064459602
"Summary statistics",0.238635735808621,-1.52583963991532
"Summary statistics",0.577818651061875,1.13139886323737
"Summary statistics",0.577818651061875,1.13139886323737
"Summary statistics",0.534166139512755,1.13271926724615
"Summary statistics",0.577818651061875,1.13139886323737
"Summary statistics",0.577818651061875,1.13139886323737
"Summary statistics",0.278760627927685,-0.8771103218722
"Summary statistics",0.275552082927271,-0.47755694370736
"Summary statistics",0.350365596427915,0.210724466345442
"Summary statistics",0.731776816023592,1.04342785757114
"Summary statistics",0.807722214854228,1.3055509844337
"Summary statistics",0.807722214854228,1.3055509844337
"Summary statistics",0.467314271670546,0.739259358412399
"Summary statistics",0.520003627348117,1.05861881217679
"Summary statistics",0.272285775437566,0.677000604934785
"Summary statistics",0.320364458372041,0.632350358413476
"Summary statistics",0.320364458372041,0.632350358413476
"Summary statistics",0.512424588504935,0.986668559740524
"Summary statistics",0.56024838444403,1.10037679744211
"Summary statistics",0.681141515953083,1.11457455151464
"Summary statistics",0.66142826745672,1.07008390425237
"Summary statistics",0.562686917079665,1.01966083007139
"Summary statistics",0.562686917079665,1.01966083007139
"Summary statistics",0.564774278017694,1.07317926860013
"Summary statistics",0.260306129690678,-0.184806426319924
"Summary statistics",0.641362492303384,1.10326282884317
"Summary statistics",0.641362492303384,1.10326282884317
"Summary statistics",0.641362492303384,1.10326282884317
"Summary statistics",0.6243220136477,1.14556961779835
"Summary statistics",0.6243220136477,1.14556961779835
"Summary statistics",0.6243220136477,1.14556961779835
"Summary statistics",0.777287811040702,1.11533639946341
"Summary statistics",0.764743847556684,1.19053582733227
"Summary statistics",0.787816177476313,1.35033848050893
"Summary statistics",0.242191957229212,-1.27545000076268
"Summary statistics",0.242191957229212,-1.27545000076268
"Summary statistics",0.233504447741074,-1.60343076716386
"Summary statistics",0.240274418969205,-1.39725049040324
"Summary statistics",0.246035428259313,-0.551161275884667
"Summary statistics",0.600329542541637,1.22279595861198
"Summary statistics",0.600329542541637,1.22279595861198
"Summary statistics",0.585077569334297,1.17357814158866
"Summary statistics",0.778153873524398,1.18789956247213
"Summary statistics",0.778153873524398,1.18789956247213
"Summary statistics",0.671871130732429,1.13373255258578
"Summary statistics",0.757112485694303,1.13608260874778
"Summary statistics",0.757112485694303,1.13608260874778
"Summary statistics",0.242176947649568,-1.84651154372841
"Summary statistics",0.242176947649568,-1.84651154372841
"Summary statistics",0.242176947649568,-1.84651154372841
"Summary statistics",0.295467125791096,-1.80894912426279
"Summary statistics",0.242176947649568,-1.84651154372841
"Summary statistics",0.195684958489099,-1.34080249549857
"Summary statistics",0.25471067104585,-1.41967564851267
"Summary statistics",0.192398752141055,-0.865026427735528
"Summary statistics",0.242176947649568,-1.84651154372841
"Summary statistics",0.242176947649568,-1.84651154372841
"Summary statistics",0.350638688068311,0.52619355875174
"Summary statistics",0.242176947649568,-1.84651154372841
"Summary statistics",0.242176947649568,-1.84651154372841
"Summary statistics",0.242176947649568,-1.84651154372841
"Summary statistics",0.28939089091833,-1.5235364324569
"Summary statistics",0.242176947649568,-1.84651154372841
"Summary statistics",0.25554188916463,-0.610082009484312
"Summary statistics",0.306157250391901,0.366452315299156
"Summary statistics",0.426608037826554,0.681465394905746
"Summary statistics",0.306157250391901,0.366452315299156
"Summary statistics",0.272780647874301,-0.0500857891533411
"Summary statistics",0.535891177936808,0.949422829919663
"Summary statistics",0.383471594092417,0.589881235965732
"Summary statistics",0.400346325473202,1.02931124311336
"Summary statistics",0.331283938660108,0.665725336783411
"Summary statistics",0.289419417311094,0.594720379422508
"Summary statistics",0.416698418396516,0.820101612488461
"Summary statistics",0.442509711203133,1.02591673238007
"Summary statistics",0.553157392462844,1.16050175251227
"Summary statistics",0.553157392462844,1.16050175251227
"Summary statistics",0.553157392462844,1.16050175251227
"Summary statistics",0.402813203678265,0.709621616973032
"Summary statistics",0.260311034797476,0.13388088143103
"Summary statistics",0.24584148872591,-1.04310747054402
"Summary statistics",0.246371195687004,0.0754849570437175
