"methods","samples.theta1","samples.theta2"
"MMD",0.522191446696685,0.892298274981431
"MMD",0.438332346320315,0.786667669497814
"MMD",0.327945168884298,-0.300309963758323
"MMD",0.333930167339741,-0.252238305411164
"MMD",0.25257341283081,0.274688867384592
"MMD",0.634339752472515,1.10813237486489
"MMD",0.634339752472515,1.10813237486489
"MMD",0.634339752472515,1.10813237486489
"MMD",0.371195624054108,1.0355973293536
"MMD",0.498416327933018,1.108235816328
"MMD",0.377076267266231,0.894427629566998
"MMD",0.3328137717969,0.510915577691772
"MMD",0.213810456704533,0.197266531833921
"MMD",0.392715893094624,0.952685283064015
"MMD",0.480919581702282,0.724179579615002
"MMD",0.392715893094624,0.952685283064015
"MMD",0.340062352828681,0.733392650261521
"MMD",0.306850133273595,0.645047275293555
"MMD",0.499177319165999,0.785683816469671
"MMD",0.328307317329828,0.554735988445155
"MMD",0.304086565897181,0.502493488044777
"MMD",0.328307317329828,0.554735988445155
"MMD",0.371462372136832,1.07074147009267
"MMD",0.262100598719862,0.0971693447577128
"MMD",0.209499329010646,0.318121309586273
"MMD",0.209499329010646,0.318121309586273
"MMD",0.209499329010646,0.318121309586273
"MMD",0.500361187295101,0.933228588585759
"MMD",0.539378796078875,1.2435082735795
"MMD",0.500361187295101,0.933228588585759
"MMD",0.590814419451585,0.953899774453332
"MMD",0.434898775408992,0.574805464294019
"MMD",0.45316888527271,0.836630936471753
"MMD",0.237229450457292,-0.483559482056094
"MMD",0.280304877399838,0.420178481394045
"MMD",0.656764645672394,1.10746873559334
"MMD",0.656764645672394,1.10746873559334
"MMD",0.656764645672394,1.10746873559334
"MMD",0.375244010147819,0.416527873614294
"MMD",0.492063604003829,0.995890443506947
"MMD",0.301033070120738,0.40353847140781
"MMD",0.394818021872283,0.154187533445391
"MMD",0.446558660606625,0.761427509178376
"MMD",0.886628556212199,0.966232318274651
"MMD",0.886628556212199,0.966232318274651
"MMD",0.886628556212199,0.966232318274651
"MMD",0.595109075442828,1.10568086153107
"MMD",0.424226071721403,0.835325307180513
"MMD",0.595109075442828,1.10568086153107
"MMD",0.613831888017295,1.06021915840345
"MMD",0.567565046594585,0.867704869236453
"MMD",0.613831888017295,1.06021915840345
"MMD",0.242538201715066,-0.425103183253095
"MMD",0.242538201715066,-0.425103183253095
"MMD",0.520347606399598,0.695454594470455
"MMD",0.520347606399598,0.695454594470455
"MMD",0.637666000281852,0.91296712909305
"MMD",0.298085309365058,0.201931185205868
"MMD",0.298085309365058,0.201931185205868
"MMD",0.298085309365058,0.201931185205868
"MMD",0.439676421437715,0.750895461318093
"MMD",0.283172938815902,0.0709246811703476
"MMD",0.223305548677233,-0.94666220468845
"MMD",0.272626131313833,0.0557773685573855
"MMD",0.383407268682225,1.21773369583352
"MMD",0.155522865279055,-0.833127053124717
"MMD",0.179738209619748,-0.106592844707335
"MMD",0.155522865279055,-0.833127053124717
"MMD",0.281882712184471,-0.0508380144094891
"MMD",0.281882712184471,-0.0508380144094891
"MMD",0.281882712184471,-0.0508380144094891
"MMD",0.661324663617256,0.914629421084584
"MMD",0.763840356841683,1.18534156307578
"MMD",0.581135182335049,1.02581162549541
"MMD",0.434726627562481,0.582065770693332
"MMD",0.635919762221244,1.16462499136668
"MMD",0.286539069122534,-1.00277063471284
"MMD",0.24426708706014,-0.95083437495694
"MMD",0.248614235872943,-1.20051538232242
"MMD",0.23673451884154,-0.838766912603384
"MMD",0.212696328578109,-1.65117269765091
"MMD",0.212696328578109,-1.65117269765091
"MMD",0.498882479784418,0.887481872894308
"MMD",0.314883990463003,0.381405229638285
