"methods","samples.omega","samples.phi","samples.logsigma","samples.logA"
"Curve matching and delay reconstruction",0.0136274444855351,0.317626354073879,-1.80948407927089,0.576441438524905
"Curve matching and delay reconstruction",0.0136274444855351,0.317626354073879,-1.80948407927089,0.576441438524905
"Curve matching and delay reconstruction",0.0138567772825268,0.266637005774159,-1.13593791252071,0.576268579230056
"Curve matching and delay reconstruction",0.0124946505579926,0.647946650333147,-1.41049574111137,0.917717817254864
"Curve matching and delay reconstruction",0.0123453751301787,0.495331509715753,-1.34468192069266,0.626453620213442
"Curve matching and delay reconstruction",0.0127934968065939,0.399384242153173,-1.17729902949487,0.4428135518238
"Curve matching and delay reconstruction",0.0128066708827063,0.528513767795324,-1.27143026533959,0.401640977993274
"Curve matching and delay reconstruction",0.0127218581050676,0.646551028093527,-1.16653618203172,0.51896151465503
"Curve matching and delay reconstruction",0.0131628852861945,0.423651071087688,-1.07423673124478,0.325005732996379
"Curve matching and delay reconstruction",0.0131628852861945,0.423651071087688,-1.07423673124478,0.325005732996379
"Curve matching and delay reconstruction",0.0137666016686487,0.350996460663278,-2.64924707456331,0.562664429736245
"Curve matching and delay reconstruction",0.0141026052524152,0.143107130843026,-2.02977028298736,0.445830771891266
"Curve matching and delay reconstruction",0.0146711760733292,0.0488513666998747,-2.97120703444688,0.651106941323249
"Curve matching and delay reconstruction",0.0119944357402185,0.678072242011859,-1.45807481964536,0.542112970503522
"Curve matching and delay reconstruction",0.0119944357402185,0.678072242011859,-1.45807481964536,0.542112970503522
"Curve matching and delay reconstruction",0.0144048194008929,0.0789977681043504,-1.07684094648706,0.430951527104853
"Curve matching and delay reconstruction",0.0144048194008929,0.0789977681043504,-1.07684094648706,0.430951527104853
"Curve matching and delay reconstruction",0.0144048194008929,0.0789977681043504,-1.07684094648706,0.430951527104853
"Curve matching and delay reconstruction",0.0130419697709556,0.6439378479078,-1.2005234601785,0.359700024298291
"Curve matching and delay reconstruction",0.0130419697709556,0.6439378479078,-1.2005234601785,0.359700024298291
"Curve matching and delay reconstruction",0.0117953272236722,0.89191639641635,-1.37930664095645,0.514106570198432
"Curve matching and delay reconstruction",0.0117953272236722,0.89191639641635,-1.37930664095645,0.514106570198432
"Curve matching and delay reconstruction",0.0117953272236722,0.89191639641635,-1.37930664095645,0.514106570198432
"Curve matching and delay reconstruction",0.0117953272236722,0.89191639641635,-1.37930664095645,0.514106570198432
