"methods","samples.omega","samples.phi","samples.logsigma","samples.logA"
"MMD",0.0574673379444283,4.64119469771557,0.274650903785614,0.379314778733872
"MMD",0.0714997565732056,2.81268616332554,0.363209016792581,0.247316573301163
"MMD",0.0626980862977916,1.38542431584781,0.430621192070624,0.213889449756895
"MMD",0.0626980862977916,1.38542431584781,0.430621192070624,0.213889449756895
"MMD",0.0567103522245179,5.59517870291121,0.0104918608083187,0.718961770754197
"MMD",0.0567103522245179,5.59517870291121,0.0104918608083187,0.718961770754197
"MMD",0.0567103522245179,5.59517870291121,0.0104918608083187,0.718961770754197
"MMD",0.0487397175086014,4.94872304339016,-0.20027747143459,0.644830899565274
"MMD",0.0951173657341043,0.912475643832149,0.505597296457916,-0.634996038338721
"MMD",0.0567103522245179,5.59517870291121,0.0104918608083187,0.718961770754197
"MMD",0.0567103522245179,5.59517870291121,0.0104918608083187,0.718961770754197
"MMD",0.0481271116067709,4.50110234879867,0.18177938920778,0.593947569870252
"MMD",0.0509206489127716,1.05486486776626,0.00262837794628028,0.657271529530387
"MMD",0.0963233836415044,2.24639906153544,-0.027447581297446,0.640915327104978
"MMD",0.090079293905514,6.26627309336579,0.391553886488754,0.239387755190285
"MMD",0.0705355055328984,5.75178627965979,0.441734943055872,-0.340908560545807
"MMD",0.0705355055328984,5.75178627965979,0.441734943055872,-0.340908560545807
"MMD",0.0778100587098441,5.83209272854221,0.659393590749824,-1.30451876619248
"MMD",0.0469235991027455,6.14994015984077,0.543433585715564,-1.30618124809448
"MMD",0.0647066244050132,2.47612692730457,0.118797843853303,0.353117644744495
"MMD",0.0456908701220527,5.66829349798762,-0.336736685035914,0.661902724862058
"MMD",0.0456908701220527,5.66829349798762,-0.336736685035914,0.661902724862058
"MMD",0.0456908701220527,5.66829349798762,-0.336736685035914,0.661902724862058
"MMD",0.0456908701220527,5.66829349798762,-0.336736685035914,0.661902724862058
"MMD",0.0481149431629614,4.85059364719097,-0.143192992884396,0.567718999300984
"MMD",0.0593872622549589,2.96926164635916,0.18735391528314,0.304473817897703
"MMD",0.0456908701220527,5.66829349798762,-0.336736685035914,0.661902724862058
"MMD",0.0605286612146096,4.81291050269656,-0.239823987547996,0.767805492008382
