"value","density","param","method"
0.208633719530198,1.82203099854125e-05,"logA","True posterior"
0.210209336503718,3.12466998663719e-05,"logA","True posterior"
0.211784953477239,5.18580878915774e-05,"logA","True posterior"
0.213360570450759,8.33404723002638e-05,"logA","True posterior"
0.21493618742428,0.000129778526141846,"logA","True posterior"
0.2165118043978,0.0001959518215407,"logA","True posterior"
0.218087421371321,0.000287073146697403,"logA","True posterior"
0.219663038344841,0.000408344809869841,"logA","True posterior"
0.221238655318362,0.000564334117326801,"logA","True posterior"
0.222814272291882,0.000758204243337545,"logA","True posterior"
0.224389889265403,0.000991124971025247,"logA","True posterior"
0.225965506238924,0.00126324859525174,"logA","True posterior"
0.227541123212444,0.00156410815754402,"logA","True posterior"
0.229116740185965,0.00188325275658477,"logA","True posterior"
0.230692357159485,0.00220745445721928,"logA","True posterior"
0.232267974133006,0.00252186819325011,"logA","True posterior"
0.233843591106526,0.00281146492344218,"logA","True posterior"
0.235419208080047,0.0030625071844298,"logA","True posterior"
0.236994825053567,0.00326382541593923,"logA","True posterior"
0.238570442027088,0.00340769223176524,"logA","True posterior"
0.240146059000608,0.00349017249364841,"logA","True posterior"
0.241721675974129,0.00351093538262508,"logA","True posterior"
0.243297292947649,0.00347263063262034,"logA","True posterior"
0.24487290992117,0.00337641499517436,"logA","True posterior"
0.24644852689469,0.00323234131855146,"logA","True posterior"
0.248024143868211,0.00304845851363242,"logA","True posterior"
0.249599760841731,0.00283235635052668,"logA","True posterior"
0.251175377815252,0.00259254389796311,"logA","True posterior"
0.252750994788772,0.00233883438258279,"logA","True posterior"
0.254326611762293,0.00208266949804069,"logA","True posterior"
0.255902228735814,0.00183727000474262,"logA","True posterior"
0.257477845709334,0.00161755769302133,"logA","True posterior"
0.259053462682855,0.00143985018155526,"logA","True posterior"
0.260629079656375,0.0013213709899145,"logA","True posterior"
0.262204696629896,0.00127963351327007,"logA","True posterior"
0.263780313603416,0.00133733385974839,"logA","True posterior"
0.265355930576937,0.00151221511271532,"logA","True posterior"
0.266931547550457,0.0018124852924373,"logA","True posterior"
0.268507164523978,0.00224718225226812,"logA","True posterior"
0.270082781497498,0.00282050921377086,"logA","True posterior"
0.271658398471019,0.00353066563504374,"logA","True posterior"
0.273234015444539,0.00436884877614422,"logA","True posterior"
0.27480963241806,0.00531860898577588,"logA","True posterior"
0.27638524939158,0.00635573323768378,"logA","True posterior"
0.277960866365101,0.00744879208473995,"logA","True posterior"
0.279536483338621,0.0085604203336717,"logA","True posterior"
0.281112100312142,0.00964931975875034,"logA","True posterior"
0.282687717285663,0.0106703568510381,"logA","True posterior"
0.284263334259183,0.0115725434598992,"logA","True posterior"
0.285838951232704,0.0123280468533419,"logA","True posterior"
0.287414568206224,0.012913660531287,"logA","True posterior"
0.288990185179745,0.0133180010951916,"logA","True posterior"
0.290565802153265,0.0135429499585203,"logA","True posterior"
0.292141419126786,0.0136041052362999,"logA","True posterior"
0.293717036100306,0.0135301142906814,"logA","True posterior"
0.295292653073827,0.0133608188710925,"logA","True posterior"
0.296868270047347,0.0131442301234098,"logA","True posterior"
0.298443887020868,0.0129324616730551,"logA","True posterior"
0.300019503994388,0.0127768821623722,"logA","True posterior"
0.301595120967909,0.0127228951071189,"logA","True posterior"
0.303170737941429,0.0128192447064155,"logA","True posterior"
0.30474635491495,0.0130704596368669,"logA","True posterior"
0.30632197188847,0.0134712840877301,"logA","True posterior"
0.307897588861991,0.0140005432253181,"logA","True posterior"
0.309473205835512,0.0146239894412428,"logA","True posterior"
0.311048822809032,0.0152994360438547,"logA","True posterior"
0.312624439782553,0.0159828216517088,"logA","True posterior"
0.314200056756073,0.0166342638901744,"logA","True posterior"
0.315775673729594,0.0172231394985752,"logA","True posterior"
0.317351290703114,0.0177313613290066,"logA","True posterior"
0.318926907676635,0.0181542996186573,"logA","True posterior"
0.320502524650155,0.018499186098696,"logA","True posterior"
0.322078141623676,0.0187784906512256,"logA","True posterior"
