"methods","samples.omega","samples.phi","samples.logsigma","samples.logA"
"Summary statistics",0.0345389650645288,5.97170006425693,-0.285713793239972,0.474535493964994
"Summary statistics",0.0482500676937652,5.29841356615133,0.164347852804703,0.745119305298829
"Summary statistics",0.0418095411492626,1.07919704044807,0.0936642077772527,0.742952927239856
"Summary statistics",0.0284670413779279,5.638510682435,0.265577835420312,0.787024723224835
"Summary statistics",0.0482500676937652,5.29841356615133,0.164347852804703,0.745119305298829
"Summary statistics",0.0482500676937652,5.29841356615133,0.164347852804703,0.745119305298829
"Summary statistics",0.0482500676937652,5.29841356615133,0.164347852804703,0.745119305298829
"Summary statistics",0.0482500676937652,5.29841356615133,0.164347852804703,0.745119305298829
"Summary statistics",0.0282718744679035,5.459646940219,-0.174237827264731,0.457203379154715
"Summary statistics",0.0297756631985446,2.62931067490467,0.0635805306510603,0.695890310468147
"Summary statistics",0.0269585874566771,4.2527980398474,0.360003505085206,0.788035116553537
"Summary statistics",0.0222480544814474,4.4979673355033,0.360871633509629,0.835780822084039
"Summary statistics",0.0271137442090023,4.94080623966838,0.25807262878317,0.852434119169253
"Summary statistics",0.0350249935902464,1.86247500184154,-0.286286519055878,0.36297630653706
"Summary statistics",0.0350249935902464,1.86247500184154,-0.286286519055878,0.36297630653706
"Summary statistics",0.0176992252649569,0.501629767606068,0.411532004408263,0.807877209583776
"Summary statistics",0.0335039668540957,3.23598824025586,0.0646464056961684,0.60970339168645
"Summary statistics",0.0182281945909668,0.204539240119776,-0.0747867569078045,0.362073611935556
"Summary statistics",0.0368985109410952,4.00896296842447,-0.119740001829418,0.366197264128028
"Summary statistics",0.0293741305609896,6.14881662595254,-0.0540648961422726,0.461758988094574
"Summary statistics",0.0222331892454414,0.417763720238985,0.0668441718094349,0.684669526128607
"Summary statistics",0.0282594459672897,0.570921854652509,0.127605730253292,0.804895739202159
"Summary statistics",0.0404056119598207,1.44418817006451,0.176285823501668,0.69926147495633
"Summary statistics",0.0376486134596245,5.44629993292134,0.0151877819914948,0.480700732849024
"Summary statistics",0.0281146682565013,6.06393921424423,0.196997681980571,0.663775919417644
"Summary statistics",0.0181801576140944,0.610514355210297,-0.555211464322875,-0.0410305874043813
"Summary statistics",0.0199559735572669,0.693244305305722,-0.276701814784883,-0.000796501324132781
"Summary statistics",0.0181801576140944,0.610514355210297,-0.555211464322875,-0.0410305874043813
"Summary statistics",0.0181709344388602,1.49362884430507,-0.436389041413542,0.0115769137637911
"Summary statistics",0.0181801576140944,0.610514355210297,-0.555211464322875,-0.0410305874043813
"Summary statistics",0.0190543388537198,5.34229399792084,-0.0412676864134155,0.423238343396619
"Summary statistics",0.0190543388537198,5.34229399792084,-0.0412676864134155,0.423238343396619
"Summary statistics",0.0139729685506119,4.18953825629489,-0.0233752603386503,0.379653045933813
"Summary statistics",0.0233113563388897,6.09112878412936,0.0667804686100768,0.60753448409408
"Summary statistics",0.0330988597894414,5.95168158569128,-0.0573650667725679,0.577613504050797
"Summary statistics",0.018974999837891,5.22992598202282,-0.089611038938671,0.436428786292983
"Summary statistics",0.0103898964561384,5.45694978989256,-0.0414065713572921,0.469429967547005
"Summary statistics",0.00954622891114493,3.80641689975,0.203103490275326,0.803463107547277
"Summary statistics",0.0103898964561384,5.45694978989256,-0.0414065713572921,0.469429967547005
"Summary statistics",0.0183776214879554,5.8323898563988,0.245923251009746,0.646969403088172
"Summary statistics",0.00521726497109747,3.07731070761068,-0.110797709165488,0.347641342751991
"Summary statistics",0.00980539435939449,5.49672669955244,0.115440275500611,0.460686442044555
"Summary statistics",0.0186056562274967,4.53466118620329,0.415984440502318,0.854940461393546
"Summary statistics",0.0187432813981651,5.61720972573395,0.210645599882655,0.726035962361702
"Summary statistics",0.0103898964561384,5.45694978989256,-0.0414065713572921,0.469429967547005
"Summary statistics",0.0331518158897883,3.58806129327743,0.0319992385980973,0.696397715784618
"Summary statistics",0.0399614884790591,4.59747325960651,-0.0498495189909156,0.54309644884539
"Summary statistics",0.0415291168085153,5.18433897067394,-0.303512754189135,0.429816641388407
"Summary statistics",0.0415291168085153,5.18433897067394,-0.303512754189135,0.429816641388407
"Summary statistics",0.0415291168085153,5.18433897067394,-0.303512754189135,0.429816641388407
"Summary statistics",0.0312675908505488,5.54970458842821,-0.230400714521884,0.340953975418856
"Summary statistics",0.0379033266684249,5.68675237635439,-0.103579562563242,0.360159909659657
"Summary statistics",0.0191784963971101,4.11258550647397,0.192714387857273,0.421941219755249
"Summary statistics",0.0176872923377711,4.93947604766193,0.307478691159494,0.617469338456876
"Summary statistics",0.0191784963971101,4.11258550647397,0.192714387857273,0.421941219755249
"Summary statistics",0.0386639196797556,5.88059248308342,-0.00383127466220312,0.496860473179903
"Summary statistics",0.0321697052918035,5.71378440701168,-0.113548181100491,0.429915234558891
